,TripId,TripId_raw,VehId,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm]
51,52,439,283,5101.80845920854,2.8154722222222226,0.18625571712551403,0.02812684682010737
52,53,2836,228,4600.947605685634,3.623166666666667,0.28641863567073167,0.03361055176752912
53,54,392,597,6023.512055691301,3.6151666666666666,0.31647665772847966,0.03721997199634191
54,55,1038,340,6095.398750987007,6.191555555555556,0.5564781367559355,0.0382129894720693
55,56,1431,531,5473.591014688935,7.592638888888889,0.3900016459436081,0.021839182498093735
56,57,2855,531,6018.979240536126,5.664083333333334,0.42180388189534945,0.03166238464469167
57,58,627,522,4413.429425206539,5.689,0.4363276040503605,0.032609146967172035
58,59,2096,135,5007.3270132808975,5.057388888888889,0.34938167029997697,0.029372198142654116
59,60,1457,228,4345.182642804609,0.33991666666666664,0.04689665327050997,0.05865865141830228
60,61,3091,467,6209.89182790063,3.0738055555555555,36.67683340101868,5.073154911815942
61,62,1468,575,4668.00588196961,9.803972222222223,0.7178571921113859,0.031131401057217567
62,64,1824,531,6102.610036036411,5.3341111111111115,0.337579848398604,0.026907734788140274
63,65,2689,185,4509.523543211367,9.437138888888889,0.6092546813772319,0.027448663983534204
64,66,1487,308,5153.560118060193,6.446805555555556,0.42780357816485354,0.028213861091853677
65,67,1083,181,4138.01720547473,3.868277777777778,0.28194844891037907,0.030989512152423043
66,68,509,414,5428.117265171811,26.160083333333333,1.8433660447960358,0.02995954013901515
67,69,1202,591,6467.308385106907,4.395027777777778,0.33774121931888756,0.03267270753542554
68,70,595,503,1909.071935438987,1.5971111111111111,0.08298382090981604,0.022091285030781924
69,71,2390,135,4752.386232524686,1.8538055555555557,0.13272718662498706,0.030440963345529738
70,72,1855,282,5051.295902534337,2.4168055555555554,0.2520322032198243,0.04433809279430768
71,73,2044,415,4601.847782253497,12.260944444444444,0.969424714032689,0.03361652713460392
72,74,1077,482,4604.256465517241,5.774222222222223,0.42426050015969236,0.03123933558011457
73,75,1497,530,5583.86470861324,7.000527777777778,0.5807038165458529,0.03526846675306467
74,76,781,149,4786.088452108769,6.718638888888888,0.4822230101139874,0.03051611991731219
75,77,818,547,5001.156686537948,5.6195,0.3057070220066489,0.023129722456261763
76,78,569,535,3853.4624520372736,3.648666666666667,36.192401882950634,4.217410735604497
