,Unnamed: 0,Unnamed: 0.1,TripId,TripId_raw,VehId,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement
250,250,250,4936,1624,231,3617.2867904997415,1.932111111111111,0.1815720494777141,0.0939759874230506,3000,1.8
251,251,251,4979,880,475,3701.5390003307584,4.283083333333334,0.3111887410483046,0.0726553085312305,3000,1.5
252,252,252,4990,817,452,4903.242885506287,0.8394444444444444,0.1148317663519,0.1367949566071609,3000,1.5
253,253,253,5020,585,549,5487.29792147806,2.70625,0.2549438846303645,0.0942055924731139,3000,1.5
254,254,254,5042,2685,347,2866.781675292313,2.6085000000000003,0.2371378992944079,0.0909096796221613,4000,3.3
255,255,255,5053,391,564,5027.537557152187,8.505555555555556,0.9210208717094718,0.1082846224086903,3000,1.5
256,256,256,5071,383,564,5803.48917624646,8.515222222222222,0.9625647003438972,0.1130404674386402,3000,1.5
257,257,257,5079,507,564,3184.220587490154,6.030361111111112,0.6853401499146896,0.1136482769915604,3000,1.5
258,258,258,5084,405,372,3887.834119077586,2.604277777777778,0.2075898411867086,0.0797110980088477,3000,1.5
259,259,259,5108,1034,452,4375.429975429976,6.105,0.4997527924823358,0.0818595892681958,3000,1.5
260,260,260,5139,2932,347,5902.751913925098,1.20825,0.1752177645368943,0.1450178063620064,4000,3.3
261,261,261,5150,842,451,5258.655538892874,1.2780833333333332,0.1108931825126821,0.0867652207180143,3000,1.5
262,262,262,5153,700,407,4580.774902801983,1.86475,0.2946613443346568,0.1580165407344989,3500,2.3
263,263,263,5179,971,201,5244.664783536057,4.818611111111112,0.3210573483333253,0.0666286074825601,2500,1.5
264,264,264,5204,1719,350,7585.07118122355,1.0829166666666663,0.0924206309749428,0.0853441763523905,3000,1.5
265,265,265,5234,973,382,3257.1350681214826,4.279527777777778,0.3761476047756393,0.0878946520054978,3000,1.5
266,266,266,5238,1312,405,5876.662134445648,2.410722222222222,0.2328928029765217,0.0966070668904521,3000,1.5
267,267,267,5241,491,564,4496.287984752302,5.421583333333333,0.5057262861410583,0.0932801831213621,3000,1.5
268,268,268,5244,37,605,5042.484925915863,4.804972222222222,0.4889038651842103,0.1017495716048281,4000,2.3
269,269,269,5285,2321,347,8696.376509787588,0.8003333333333332,0.127504969525173,0.1593148307269967,4000,3.3
270,270,270,5292,470,458,5058.138482425705,0.9206944444444444,0.1272158690319328,0.1381738206411097,3500,2.4
271,271,271,5337,460,549,4369.7670013260085,3.95925,0.3463332170202354,0.0874744502166409,3000,1.5
272,272,272,5357,2043,430,3645.552094150225,1.4445,0.182814219358177,0.1265588226778657,3500,1.8
273,273,273,5385,931,350,5057.029788017301,3.62188888888889,0.2615318840055144,0.0722086988388388,3000,1.5
274,274,274,5402,1004,350,5958.730863101841,2.003111111111111,0.1899759846894491,0.094840462736024,3000,1.5
275,275,275,5406,929,452,3703.2740487089,0.7949722222222222,0.0976927641518976,0.1228882738554218,3000,1.5
276,276,276,5408,505,458,4219.792438843588,11.991111111111111,1.5326024536517904,0.127811546357173,3500,2.4
277,277,277,5427,1289,565,5938.766950929679,1.5895555555555556,0.1273970377790342,0.0801463260178462,2500,1.3
278,278,278,5430,348,458,8204.846478025285,0.7382222222222222,0.0846337760206467,0.1146453919605388,3500,2.4
