,TripId,VehId,Aggressivity,Aggressiveness,Fuel Consumed[L],Distance[km],Weight,Displacement,Fuel Economy[mpg],Fuel Rate[gpm]
5208,5208,196,195.12896699270973,140760.82624054793,0.0,3.8608611111111113,4000.0,4.3,inf,0.0
5209,5209,283,262.63244613081383,132849.07152811778,0.26538090459821484,2.212416666666667,2500.0,1.5,19.609273481546836,0.050996279945865544
5210,5210,271,253.50930721914185,121316.02582093742,0.2817798100439069,2.3753333333333333,3000.0,2.0,19.82800151492024,0.05043372622538468
5211,5211,459,249.8807751484726,149828.55113982473,1.6798563312870218,7.980027777777778,4000.0,3.6,11.173687336137633,0.08949597119706648
5212,5212,145,484.952083778384,138995.58447594702,0.4062475705331236,3.22725,3500.0,2.4,18.685558570433237,0.05351726555192909
5213,5213,259,406.8602625850448,110948.00248218603,0.0,7.788833333333333,3500.0,2.7,inf,0.0
5214,5214,250,359.3004891110129,74889.70638212777,9.686540367987847,56.39794444444446,5500.0,5.3,13.694899036441472,0.07301988845182777
5215,5215,528,486.8709165726802,252712.34031161852,0.0,5.603361111111113,4500.0,3.3,inf,0.0
5216,5216,624,313.035375286198,228486.4390729257,0.8348088266392402,6.365305555555558,,2.5,17.934797434206807,0.05575752966647468
5217,5217,155,117.90926254605131,96574.15618611916,0.0,6.508972222222222,3000.0,2.5,inf,0.0
5218,5218,488,434.852262685219,250548.86194631844,0.8720506598109885,7.489638888888887,3500.0,2.5,20.201490607642622,0.04950129767264205
5219,5219,232,311.33637784395,97596.26242181676,0.3859283980790257,1.8253055555555555,3500.0,2.4,11.124822514918646,0.0898890745141306
5220,5220,557,343.18532995527875,118986.87092306053,1.5305476648620575,7.039083333333334,4500.0,3.5,10.817664292634454,0.09244139704731652
5221,5221,577,212.36725538547702,115837.9162404385,0.27369515980713016,1.8193611111111108,3500.0,2.4,15.635653676286518,0.06395639227521577
5222,5222,232,452.22337329174553,236756.52389459198,1.1785755495120591,9.749416666666667,3500.0,2.4,19.457429097532174,0.05139425126451223
5223,5223,157,458.5145583516489,235933.5026248964,0.36014981099084165,2.111194444444445,3500.0,3.5,13.788254640431044,0.07252549550888904
5224,5224,429,482.21585038291545,253911.49600052892,0.5390377221807725,4.201944444444445,3500.0,3.5,18.335611559147683,0.0545386771951491
5225,5225,459,329.0959473794203,193518.3506133832,1.9990433968065229,11.464194444444445,4000.0,3.6,13.489180729832125,0.0741334866830304
5226,5226,297,504.82096732235925,112039.47411994568,0.6684951661604691,5.0328333333333335,3500.0,2.5,17.708367630757778,0.05647047886351159
5227,5227,264,491.9911623659415,220340.33585600872,0.0,12.574833333333334,4000.0,3.6,inf,0.0
5228,5228,603,271.8365915213729,98729.55279752222,0.0,6.233194444444441,,3.1,inf,0.0
5229,5229,577,329.8342434321177,137430.74517019314,0.3534821794941026,3.019444444444445,3500.0,2.4,20.092027844999908,0.04977098417912354
5230,5230,283,293.38894520416284,136423.95710400734,0.2486310089126841,2.1654444444444447,2500.0,1.5,20.485945170749236,0.04881395472188637
5231,5231,592,305.0268357426073,127035.60869357405,0.5354000610524584,4.068138888888889,4000.0,2.4,17.872347801655255,0.05595235786019029
5232,5232,209,246.75961043882182,131317.8524859686,0.3777933927720553,2.449861111111112,3500.0,2.5,15.252862584954373,0.06556146391736416
5233,5233,465,325.00709195124364,160909.70876680478,0.8431700449885446,4.659305555555556,4000.0,3.5,12.997812725205991,0.07693602155543842
5234,5234,155,392.9645611794419,106847.2376821943,0.0,21.161777777777786,3000.0,2.5,inf,0.0
5235,5235,202,274.6764252859607,95170.4066856586,0.7341695084787699,5.8699444444444415,2500.0,1.8,18.806236773319885,0.053173849295499905
5236,5236,123,239.11944642966927,148410.5004010954,0.11392422107827613,1.0041944444444444,2500.0,1.8,20.73318384169285,0.0482318590157425
5237,5237,108,147.5956756983257,184368.73991251664,0.322211232194659,1.187527777777778,6000.0,6.0,8.668967075603879,0.11535399676556507
5238,5238,454,205.6596137198395,111080.41800122047,0.0,8.056861111111111,4500.0,5.7,inf,0.0
5239,5239,8,322.8315225925107,104826.53780474512,0.5323534093059226,3.8226388888888887,2500.0,1.5,16.889915861916606,0.059206926083912634
5240,5240,180,334.75589179545346,99681.96228437047,0.0,5.598916666666668,2500.0,1.6,inf,0.0
