,TripId,TripId_raw,VehId,Aggressivity,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm],Weight,Displacement,SpeedAverage,SpeedVariance,Air Temperature[F],Precipitation Level[mm],Normalized PKE 1,Normalized PKE 2
2730,4069,1233,465,350.7233021369752,4016.6700548892045,4.099166666666667,0.6034646625553532,0.1472164250999032,4000.0,3.5,51.18471337579618,265.8566878980892,-10.96,0.0,62.23190597803179,5.89065369563049
2731,4070,1505,185,308.2759410081974,4133.934721684894,5.887611111111113,0.5826880536690399,0.0989685022791994,2500.0,1.5,43.02675585284281,569.9747297539417,-11.14,0.0,50.109109837236154,5.997100911371349
2732,4072,3170,366,363.07205445960136,5081.647200060025,8.885111111111113,1.382862626993376,0.1556381917682563,4500.0,3.5,45.61844863731656,383.3751211176294,9.81,0.0,47.443952503033785,8.541969756511506
2733,4075,2100,366,322.0971653022644,4882.691864484904,2.1695,0.4591460916172038,0.2116368248984576,4500.0,3.5,29.75172413793104,552.9934865900383,11.63,0.0,58.5527339005207,7.166610659699148
2734,4077,1308,340,723.7311240986978,6701.410883961993,4.6306666666666665,0.809289871186938,0.1747674642643834,3500.0,3.5,28.933275563258228,237.87672351983602,12.55,0.0,122.72395720769396,20.669298056032666
2735,4080,1596,484,489.3366609098368,3953.186597504556,9.906944444444443,1.3361506300832242,0.1348701042562626,3500.0,3.5,34.98872950819672,522.2921805380412,6.33,0.0,35.31563019327941,5.223533726337148
2736,4081,1662,480,261.9142253656262,5600.896717373899,2.6020833333333333,0.3006933760068039,0.1155587033492921,3500.0,2.4,51.682274247491634,598.2644834010459,7.73,0.0,39.46350823287924,6.597243017654585
2737,4084,1734,494,447.2223554566874,5449.101135563052,21.64613888888889,3.3814712584689266,0.156215908796772,4500.0,3.5,35.92151898734177,384.8480788050889,5.87,0.0,412.1635834931634,54.23205045962677
2738,4086,359,504,562.6578789755185,6704.27775958074,2.1201388888888895,0.3310480723673824,0.1561445215227745,3000.0,2.3,39.85034013605442,420.9520101055754,21.87,0.0,47.294446367581834,6.831954612611008
2739,4089,1031,462,434.2606654685832,5237.999837561252,3.0780833333333337,0.4136330023751005,0.1343800532934782,3000.0,1.8,40.320987654320994,503.43742093094266,9.26,0.0,67.79664989073184,10.502062805793228
2740,4091,1542,575,339.6554976000725,4921.021316693949,4.598638888888889,0.5696073580723918,0.1238643372169669,4000.0,2.4,53.26626016260161,1546.1305904657827,3.4,1.9,23.51093613660143,3.421367572117372
2741,4092,11173,367,316.9128815963588,4494.9626865671635,2.3822222222222225,0.2212921507348177,0.0928931602898022,3500.0,2.5,38.46106870229008,334.75039335154185,24.57,0.0,89.31161600090256,16.576777212288732
2742,4093,1328,208,370.1270016574656,5322.740774705449,8.360166666666668,1.208405033537375,0.1445431750009818,3500.0,2.5,43.115259740259745,337.6793765177911,-9.1,0.0,21.395767872156735,2.604377102667885
2743,4094,1981,285,365.73310779551406,2843.4453144733507,16.495833333333334,1.7020351262678532,0.1031796994959042,3000.0,2.4,44.2025819265144,500.5891384562535,23.81,0.0,50.50073159287342,6.809645893920924
2744,4095,1142,575,343.5632430325119,3386.705429745562,10.16622222222222,1.1148845737278408,0.1096655718670823,4000.0,2.4,35.911764705882355,382.20892494929006,-6.96,0.0,378.2473620868203,43.47670828584141
