,TripId,TripId_raw,VehId,Aggressivity,Aggressiveness,Distance[km],Fuel Consumed[L],Fuel Rate[gpm]
91,125,1714,156,316.370832054401,5170.080098091502,5.573027777777778,0.8331308648204783,0.14949339892805735
92,126,2681,255,363.1761436568087,5861.327938622439,1.4554722222222223,0.3193160510270794,0.21939000013311558
93,128,540,576,265.306318353265,4513.259090085832,6.28813888888889,0.6617048269111394,0.10523063160713078
94,129,1213,324,213.40728844336968,6779.753761969903,4.203250000000001,0.5565609087831167,0.13241204039329485
95,130,1640,484,303.290007575581,4605.913844674038,6.584361111111111,0.9862075332062432,0.1497802925088689
96,131,1055,145,332.016481489353,5371.670932667696,5.252555555555555,0.671112085462345,0.12776867914372064
97,132,766,283,228.52058599756788,6500.779497319289,1.4610555555555556,0.16462630604590728,0.11267628080255261
98,133,1029,216,203.49015399195716,3312.4136723537536,4.2835833333333335,0.5332542899128496,0.12448789912950986
99,134,5501,466,257.66095194695674,6779.063759429576,1.075222222222222,0.22927508433095517,0.21323506861409494
100,135,1737,265,229.09383357273524,6166.85136445491,3.208444444444445,0.8007962837668098,0.24959019787717437
101,136,1148,319,284.03825245552343,2874.2744847127647,1.215611111111111,0.07172853061959536,0.0590061492231944
102,138,1556,291,211.31705817959383,3497.2023924368123,2.8794444444444443,0.2977494895905328,0.10340518642928016
103,141,1297,500,413.2334631494822,5224.2886663487525,3.1454999999999997,0.4806183378857241,0.15279552945023817
104,142,1448,480,598.9029799327276,7571.714503848297,1.3461944444444445,0.22254373341786426,0.1653132163308733
105,143,1501,163,243.43214294802573,7540.876777251185,1.1253333333333333,0.21580021544038352,0.19176559428944034
106,144,912,199,333.67404445165295,4200.76756389839,2.127944444444444,0.2557288905391537,0.12017648825691897
107,145,1097,584,509.7106366215537,4200.960154396687,17.271527777777777,1.7847755559172027,0.10333628726310852
108,146,1065,546,402.7689106051708,6213.14474277778,7.820194444444444,0.700029041395367,0.08951555442367239
109,147,3154,624,318.0877102591575,5074.891301400201,9.218916666666667,1.2790443525846222,0.13874128586163836
110,148,1670,480,341.2187011087048,4466.362515046589,7.476777777777778,0.7700075909496795,0.10298655568422396
111,149,1326,268,476.4855470328654,4876.018099547511,1.4733333333333332,0.12880422955992835,0.08742368522167084
112,150,270,563,290.2607963590332,5027.5435993635265,8.781027777777778,0.9169706565556504,0.10442634732078127
113,151,647,473,376.4059032184528,5144.898369893338,4.969,0.6405882038389186,0.12891692570716815
114,153,1195,400,272.2243935271573,4724.301226845225,1.2611388888888886,0.16077346491949568,0.12748275890623215
115,154,1490,484,322.0638378531682,5677.965170576278,1.011277777777778,0.17100195995745276,0.16909494474724768
116,155,911,208,350.1785512631445,7316.497370217209,1.3837222222222223,0.21450588113099933,0.1550209122077323
117,157,1658,522,442.621168545599,3224.083907161754,8.882833333333334,0.9256675710745117,0.10420859385044318
118,159,1031,265,486.36528823506603,5172.006021510578,9.189277777777779,1.4222323598933109,0.1547708529752646
119,161,2705,116,374.6212193183106,4667.774928855203,8.87275,3.6732054308704183,0.4139872565856604
120,162,1676,133,246.6661058643164,4865.752271371944,0.7918611111111111,0.09680397283708378,0.122248676540324
121,164,1790,162,350.9607923648529,3833.721210175748,1.7306944444444445,0.1986865460431553,0.11480163161148528
122,166,649,214,314.5981123532393,5512.699095996556,1.1615,0.1684360327674213,0.14501595589102137
123,167,1724,154,548.3450383255505,4924.144438110589,2.826277777777778,0.3859855038510197,0.1365702645670268
124,171,1341,289,164.96149672949795,8322.513271255766,0.638388888888889,0.09357893586773747,0.1465860974344508
125,172,8566,490,428.8212109171331,6525.415724192786,3.3525833333333335,0.6088210391000549,0.1815975856727563
126,176,999,577,444.4919443720171,4445.432901917367,8.505583333333334,1.0736830890282063,0.12623273994864623
127,178,613,557,511.4292307119999,5144.185282137366,4.732722222222222,0.815549119498189,0.17232135781576732
128,179,1845,480,320.25180530546777,4677.222898903776,0.821,0.13326731025584873,0.16232315500103378
129,182,1217,557,385.78102467782327,5034.288606752325,8.012055555555555,1.2507477743947308,0.15610822537637833
130,183,869,340,559.1152932773185,7141.376757957069,1.5761666666666667,0.24690657163884647,0.15665004016422532
131,184,988,465,280.2663595123746,3730.1857455216264,64.20672222222223,10.517501195564249,0.16380685435339193
132,185,2841,575,325.61366566878536,4802.934573990862,7.337805555555555,0.8732302803334449,0.11900428182814275
133,187,922,276,279.5432879191353,3005.414847161572,2.8625,0.20942076623678638,0.07316009300848433
134,188,1048,216,296.2149121478872,4330.4688464999745,4.722583333333333,0.6619997765961374,0.14017746853158847
135,189,1305,522,289.77840409956724,4963.8564549395605,6.478027777777777,0.6964059065483146,0.10750276634151909
136,192,1176,584,572.0740265486734,4627.135225514204,9.369944444444446,1.0670968418729645,0.11388507671522634
137,195,1706,337,347.13575300306275,7201.632464482347,6.49325,1.1490981991815172,0.17696811291441378
138,196,2374,133,458.565617446094,4737.397542161472,4.832611111111111,0.5447093670382549,0.1127153322529641
139,197,1849,415,333.8337803168574,8218.173012894242,1.3765833333333335,0.19286512458591587,0.140104213029299
140,200,1137,232,420.469648676808,4663.89238902502,5.974194444444445,0.7296097739710518,0.1221268876927055
141,201,1617,575,296.3414771117363,3379.7344555746554,3.7491111111111106,0.38570754077274816,0.10287973051255805
142,202,1158,268,376.11708821429346,7809.151349237387,1.91775,0.29563153060857217,0.15415540639216382
143,203,1187,557,705.8887155700986,6014.831347822447,4.978194444444444,0.8526888572666721,0.17128476333789133
144,204,766,267,180.27131029482402,3555.638583604154,7.8807222222222215,0.9518069425221678,0.12077661357460909
145,205,1262,248,408.5305483079372,6738.734979973297,1.3315555555555556,0.2167516400394114,0.1627807710576354
146,207,3188,624,424.1782504027615,3631.5720581177193,1.2732777777777777,0.19809511414068998,0.15557886707676685
147,208,634,145,426.1890221643003,5013.745504486784,4.7732777777777775,0.5965345218770974,0.12497377057214067
148,209,1277,575,292.9230471818106,5161.224582448458,5.506638888888889,0.7506456461499492,0.13631648293927112
149,211,1217,324,536.9444103504278,5643.5281200439185,1.8215555555555556,0.12712282255651458,0.06978805678959565
150,212,638,531,137.00627157705722,8219.77186311787,1.0227777777777778,0.13275877754998522,0.12980217250949125
151,213,1105,507,578.91558840606,5228.389830508473,2.884444444444445,0.44661663965835635,0.15483627723132537
152,214,1931,133,172.8782819863192,4361.077575799385,2.415916666666667,0.39705285088493025,0.16434873618085483
153,215,1499,483,350.3598683352534,5449.11188427028,10.618611111111111,1.6640967790314147,0.15671510724129786
154,216,1222,488,365.81119514492946,5187.938288920056,1.0298888888888886,0.1468729451657439,0.14261047647984632
155,218,929,340,518.9154177033256,6059.5310032942825,11.400222222222222,1.959315808539785,0.17186645754330387
156,219,3141,624,444.0752639050549,6447.257548758757,5.689861111111111,0.9566395455941371,0.16813056187364922
157,220,1028,413,364.2952135926822,4135.555893963709,7.113916666666666,1.023328823115194,0.14384886287889148
158,221,2803,185,298.17977206103836,4470.7560752530535,6.347472222222223,0.5834655808883839,0.09192093489526372
159,224,1077,156,282.6398582257507,4495.040024939043,4.989944444444444,0.6985026116787465,0.13998204177531967
160,225,1633,202,323.3262167989802,4969.284849881865,1.4460833333333334,0.1583376533732586,0.10949414167458672
161,228,391,283,300.94913598992184,4572.165117085522,8.490944444444445,0.7013212205004203,0.08259637371191247
162,229,2301,268,456.89929917153194,4835.721932520633,2.4130833333333337,0.22634719020457594,0.09379998903390928
163,231,1460,367,390.8825418174498,5012.09231837843,2.639416666666667,0.3056493048709318,0.11580183937268908
164,232,957,299,537.4198473147579,3928.847110865358,10.047222222222222,1.107228032284818,0.11020240299213008
165,234,9945,345,369.1988466962345,5544.910633141472,1.467111111111111,0.15489733176626233,0.10557982322753416
166,235,307,12,272.8035908825374,4897.190694853578,10.259555555555556,0.9850968777019331,0.09601750020920766
167,237,1509,591,765.5004946790567,5972.277977655747,4.400833333333333,0.38616405600919845,0.08774793925601936
168,239,637,584,507.38349131419454,3967.3346605672264,20.94302777777778,2.2205861119150443,0.10602985086384038
169,240,1164,307,872.669928157252,4364.218958611482,1.5604166666666668,0.1859329939015524,0.11915599075132864
170,241,1467,500,560.1872971119597,6114.893617021277,3.603333333333333,0.8250367859602853,0.22896488047001443
171,242,862,483,1016.7397140070714,6828.955619034348,1.1960833333333334,0.17914608644861782,0.14977726171416525
172,243,901,147,755.3404291279768,5363.154157275618,4.498472222222222,0.7534328374923036,0.16748638210332475
173,246,1256,337,373.13555347233796,8792.64797707296,1.7349722222222221,0.3612933628654701,0.20824158348927976
174,247,431,596,230.34979536458036,4869.345256651198,3.118694444444445,0.5870496389324941,0.18823570227543385
175,248,1501,140,320.193225530182,7099.712510595164,3.1788611111111114,0.43995780071283724,0.13840107678031213
176,250,2162,459,364.16942966360415,5210.381902806854,5.466777777777779,0.8080407731220768,0.14780933229199997
177,251,1756,494,673.7363150632748,5697.959183673469,1.77625,0.2968043779479018,0.1670960607729215
178,252,2002,459,416.8742641387481,5127.624460353025,5.083055555555556,0.8249844171856034,0.16230088539636986
179,253,931,276,417.955355743375,5858.080452671943,5.802583333333334,0.6650020840325502,0.11460448662794735
180,254,1119,276,248.64202655800923,2037.0005904349537,2.5405,0.23101746286221037,0.09093385666688067
181,256,1254,484,502.723935053229,2529.703757247105,18.52272222222222,2.6218038639472794,0.14154527787507545
182,258,1527,156,597.3521649360636,6593.218905893295,5.9135,0.945555427040916,0.15989776393690977
183,259,496,162,136.82857919609378,4381.578947368421,3.5973333333333333,0.3676433473316869,0.1021988548920553
